premise,hypothesis,label
"One type of pathway sees global temperature stabilize at, or just below, 1.5°C.","Climate Dynamics, 42(3–4), 617–627, 
 doi:10.1007/s00382-013-1713-0.
Holland, M.M., C.M.",neutral
"Reviews of Geophysics, 55(1), 235–276, 
doi:10.1002/2016rg000532.
Turner, J.","Reviews of Geophysics, 55(1), pp.",entailment
"Reviews of Geophysics, 55(1), 235–276, 
doi:10.1002/2016rg000532.
Turner, J.","Reviews of Geophysics, 59(1), pp.",contradiction
"Reviews of Geophysics, 55(1), 235–276, 
doi:10.1002/2016rg000532.
Turner, J.","Branfireun, 2016: 
Climate change effects on peatland decomposition and porewater dissolved 
organic carbon biogeochemistry.",neutral
"Science, 
335(6072), 1058–1063, doi:10.1126/science.1208277.
Horta E Costa, B.","Science, 335(6072), 1058–1063, is a book.",entailment
"Science, 
335(6072), 1058–1063, doi:10.1126/science.1208277.
Horta E Costa, B.","Science, 335(6072), 1058–1063, is not a book.",contradiction
"Science, 
335(6072), 1058–1063, doi:10.1126/science.1208277.
Horta E Costa, B.","Thus, regional tipping points in the viability of livestock production may 
well exist, but little evidence quantifying such changes exists.",neutral
"Journal of Climate, 26(17), 6591–6617, doi:10.1175/jcli-d-12-00539.1.
Knutson, T.R.","The Journal of Climate, 26(17), 6591–6617, is a journal.",entailment
"Journal of Climate, 26(17), 6591–6617, doi:10.1175/jcli-d-12-00539.1.
Knutson, T.R.","The Journal of Climate, 26(17), 6591–6617, is not a journal.",contradiction
"Journal of Climate, 26(17), 6591–6617, doi:10.1175/jcli-d-12-00539.1.
Knutson, T.R.","There is, however, medium agreement that GMSL in 2100 would be 
0.04–0.16 m higher in a 2°C warmer world compared to a 1.5°C 
warmer world based on the 17–84% confidence interval (0.00–0.24 
m based on 5–95% confidence interval) with a value of around 0.1 
m.",neutral
"Growth-rate 
projections based on temperature impacts alone indicate robust negative impacts on gross domestic product (GDP) per capita 
growth for SIDS (Sections 3.4.7.1, 3.4.9.1 and 3.5.4.9; Pretis et al., 2018).",Growth-rate projections based on temperature impacts alone show a negative impact on GDP per capita for SIDS.,entailment
"Growth-rate 
projections based on temperature impacts alone indicate robust negative impacts on gross domestic product (GDP) per capita 
growth for SIDS (Sections 3.4.7.1, 3.4.9.1 and 3.5.4.9; Pretis et al., 2018).",It is false that Growth-rate projections based on temperature impacts alone show a negative impact on GDP per capita for SIDS.,contradiction
"Growth-rate 
projections based on temperature impacts alone indicate robust negative impacts on gross domestic product (GDP) per capita 
growth for SIDS (Sections 3.4.7.1, 3.4.9.1 and 3.5.4.9; Pretis et al., 2018).","Scientific Reports, 7, 46432, 
doi:10.1038/srep46432.
Warren, R., J.",neutral
"Life for many indigenous and rural groups becomes untenable in their ancestral lands (Chapter 4, Box 4.3; Cross-Chapter Box 12 
in Chapter 5).","In their ancestral lands, life for many indigenous and rural groups becomes intolerable.",entailment
"Life for many indigenous and rural groups becomes untenable in their ancestral lands (Chapter 4, Box 4.3; Cross-Chapter Box 12 
in Chapter 5).","It is false that In their ancestral lands, life for many indigenous and rural groups becomes intolerable.",contradiction
"Life for many indigenous and rural groups becomes untenable in their ancestral lands (Chapter 4, Box 4.3; Cross-Chapter Box 12 
in Chapter 5).","Extreme temperatures will also increase, with potential 
for elevated impacts as a result of comparably small natural variability (Reyer et al., 2017a).",neutral
"Cambridge University Press, Cambridge, United Kingdom and 
NewYork, NY , USA, pp.",The Cambridge University Press is located in the United Kingdom and New York.,entailment
"Cambridge University Press, Cambridge, United Kingdom and 
NewYork, NY , USA, pp.",The Cambridge University Press is not located in the United Kingdom and New York.,contradiction
"Cambridge University Press, Cambridge, United Kingdom and 
NewYork, NY , USA, pp.","Feyen, 2018: Multi-Model Projections 
of River Flood Risk in Europe under Global Warming.",neutral
"(2014) explained the inclusion of non-economic 
metrics related to impacts on ecosystems and species at the global 
level, in addition to economic metrics in global aggregate impacts.","In addition to economic metrics in global aggregate impacts, the inclusion of non- economic metrics related to impacts on ecosystems and species at the global level was explained.",entailment
"(2014) explained the inclusion of non-economic 
metrics related to impacts on ecosystems and species at the global 
level, in addition to economic metrics in global aggregate impacts.","It is false that In addition to economic metrics in global aggregate impacts, the inclusion of non- economic metrics related to impacts on ecosystems and species at the global level was explained.",contradiction
"(2014) explained the inclusion of non-economic 
metrics related to impacts on ecosystems and species at the global 
level, in addition to economic metrics in global aggregate impacts.","Cambridge University Press, Cambridge, United Kingdom and New 
York, NY , USA, pp.",neutral
"Science Advances, 
4(5), eaaq1012, doi:10.1126/sciadv.aaq1012.
Zickfeld, K.",K. Zickfeld is the author of Science Advances.,entailment
"Science Advances, 
4(5), eaaq1012, doi:10.1126/sciadv.aaq1012.
Zickfeld, K.",K. Zickfeld is not the author of Science Advances.,contradiction
"Science Advances, 
4(5), eaaq1012, doi:10.1126/sciadv.aaq1012.
Zickfeld, K.","There is only limited evidence linking the current anomalously 
weak state of AMOC to anthropogenic warming (Caesar et al., 2018).",neutral
"Wheeler, 2016: Impact of progressive 
global warming on the global-scale yield of maize and soybean.",The global-scale yield of maize and soybean is affected by progressive global warming.,entailment
"Wheeler, 2016: Impact of progressive 
global warming on the global-scale yield of maize and soybean.",The global-scale yield of maize and soybean is not affected by progressive global warming.,contradiction
"Wheeler, 2016: Impact of progressive 
global warming on the global-scale yield of maize and soybean.","Briggs, 2018: Estimating 
population heat exposure and impacts on working people in conjunction with 
climate change.",neutral
"The number of ‘dead zones’ (areas where oxygenated waters have 
been replaced by hypoxic conditions) has been growing strongly 
since the 1990s (Diaz and Rosenberg, 2008; Altieri and Gedan, 2015; 
Schmidtko et al., 2017).",The number of dead zones has been growing since the 1990s.,entailment
"The number of ‘dead zones’ (areas where oxygenated waters have 
been replaced by hypoxic conditions) has been growing strongly 
since the 1990s (Diaz and Rosenberg, 2008; Altieri and Gedan, 2015; 
Schmidtko et al., 2017).",The number of dead zones has been growing since the 1995s.,contradiction
"The number of ‘dead zones’ (areas where oxygenated waters have 
been replaced by hypoxic conditions) has been growing strongly 
since the 1990s (Diaz and Rosenberg, 2008; Altieri and Gedan, 2015; 
Schmidtko et al., 2017).","(2015) showed that fires reduce 
the carbon sink of global terrestrial ecosystems by 0.57 PgC yr–1 in 
ecosystems with large carbon stores, such as peatlands and tropical 
forests.",neutral
"(2013) determined that an 
additional 8% of the world population in 2000 would be exposed to 
new or aggravated water scarcity at 2°C of global warming.",8% of the world's population will be exposed to new water scarcity in 2000 because of global warming.,entailment
"(2013) determined that an 
additional 8% of the world population in 2000 would be exposed to 
new or aggravated water scarcity at 2°C of global warming.",12% of the world's population will be exposed to new water scarcity in 2000 because of global warming.,contradiction
"(2013) determined that an 
additional 8% of the world population in 2000 would be exposed to 
new or aggravated water scarcity at 2°C of global warming.","In this instance, a number of flourishing eastern Mediterranean civilizations collapsed, and rural 
settlements re-emerged with agro-pastoral activities and limited long-distance trade.",neutral
"Peters, 2007: The contribution of atmospheric acid deposition 
to ocean acidification in the subtropical North Atlantic Ocean.",The contribution of atmospheric acid deposition to ocean acidification.,entailment
"Peters, 2007: The contribution of atmospheric acid deposition 
to ocean acidification in the subtropical North Atlantic Ocean.",It is false that The contribution of atmospheric acid deposition to ocean acidification.,contradiction
"Peters, 2007: The contribution of atmospheric acid deposition 
to ocean acidification in the subtropical North Atlantic Ocean.","et al., 2017: IPCC Reasons for Concern regarding climate change risks.",neutral
"Chun, 2017: Impact assessment of climate change on rice 
productivity in the Indochinese Peninsula using a regional-scale crop model.",An impact assessment of climate change on rice productivity was done.,entailment
"Chun, 2017: Impact assessment of climate change on rice 
productivity in the Indochinese Peninsula using a regional-scale crop model.",It is false that An impact assessment of climate change on rice productivity was done.,contradiction
